cut,flute_1,flute_2,flute_3,
1,32.31711361,48.89261732,37.72082548,39.6435188
2,37.914879,49.57081504,37.72082548,41.73550651
3,43.08790971,50.30286727,37.72082548,43.70386749
4,47.8590723,51.08365203,37.84985103,45.59752512
5,52.25032922,51.90828793,38.17266456,47.44376057
6,56.28276562,52.77212655,38.61755643,49.22414953
7,59.97661561,53.6707451,39.17455623,50.94063898
8,63.3512879,54.5999392,39.83415523,52.59512744
9,66.4253909,55.55571585,40.58729178,54.18946618
10,69.21675719,56.53428648,41.42533708,55.72546025
11,71.74246752,57.53206029,42.34008123,57.20486968
12,74.01887416,58.54563763,43.32371962,58.62941047
13,76.06162381,59.57180359,44.36883963,60.00075568
14,77.88567991,60.60752172,45.46840765,61.32053643
15,79.50534445,61.64992794,46.61575637,62.59034292
16,80.93427925,62.69632451,47.8045724,63.81172539
17,82.18552678,63.74417426,49.0288842,64.98619508
18,83.27153045,64.79109482,50.28305022,66.11522516
19,84.20415441,65.83485314,51.56174741,67.20025165
20,84.99470288,66.87336002,52.85995997,68.24267429
21,85.653939,67.90466485,54.17296838,69.24385741
22,86.19210327,68.92695045,55.49633868,70.2051308
23,86.61893145,69.93852803,56.82591204,71.12779051
24,86.94367205,70.93783235,58.15779461,72.01309967
25,87.17510345,71.92341685,59.48834755,72.86228928
26,87.32155046,72.89394911,60.81417738,73.67655898
27,87.39090058,73.84820624,62.13212659,74.4570778
28,87.39090058,74.78507049,63.43926441,75.20507849
29,87.39090058,75.70352498,64.73287786,75.94243447
30,87.39090058,76.6026495,66.0104631,76.66800439
31,87.39090058,77.48161641,67.26971691,77.38074463
32,87.39090058,78.33968677,68.50852841,78.07970525
33,87.39090058,79.17620637,69.72497111,78.76402602
34,87.39090058,79.99060207,70.91729498,79.43293254
35,87.39090058,80.78237816,72.08391897,80.08573257
36,87.39090058,81.55111275,73.22342351,80.72181228
37,87.39090058,82.2964544,74.33454341,81.3406328
38,87.39090058,83.01811874,75.41616079,81.9417267
39,87.39090058,83.71588526,76.46729838,82.52469474
40,87.39090058,84.38959411,77.48711287,83.08920252
41,87.39090058,85.03914309,78.47488851,83.63497739
42,87.39090058,85.66448465,79.43003091,84.16180538
43,87.39090058,86.26562303,80.35206101,84.66952821
